City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Teknaf,BD,76.42,overcast clouds,20.8624,92.3058,Forestry Guesthouse
223,Namatanai,PG,83.17,light rain,-3.6667,152.4333,Seagulls Inn Namatani
228,Bambous Virieux,MU,73.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
229,Rairangpur,IN,70.25,overcast clouds,22.2676,86.1751,Motu Hotel
230,Dicabisagan,PH,82.99,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
235,Keti Bandar,PK,78.31,clear sky,24.1447,67.4497,Haji laloo memon house
237,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
239,Maragogi,BR,77.77,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
243,Matara,LK,78.96,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
244,Sao Filipe,CV,80.31,overcast clouds,14.8961,-24.4956,Hotel Xaguate
245,Labuhan,ID,87.6,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
250,Hilo,US,82.13,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
253,Marana,US,76.48,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
255,Benguela,AO,74.14,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
260,Davila,PH,89.58,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
263,Sorong,ID,83.08,overcast clouds,-0.8833,131.25,waigo splash hotel
264,Morondava,MG,73.54,clear sky,-20.2833,44.2833,La Case Bambou
268,Ures,MX,79.07,clear sky,29.4333,-110.4,Hotel HACIENDA San Francisco
269,Xuddur,SO,70.12,overcast clouds,4.1213,43.8894,Banjanay Hotel
273,Hithadhoo,MV,81.82,scattered clouds,-0.6,73.0833,Scoop Guest House
277,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
281,Caravelas,BR,73.15,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
283,Samarai,PG,82.65,overcast clouds,-10.6167,150.6667,Nuli Sapi
287,Barabai,ID,80.73,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
291,Cape Coast,GH,78.28,broken clouds,5.1053,-1.2466,Samrit Hotel
292,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
294,Ternate,ID,85.46,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
297,Meulaboh,ID,78.93,overcast clouds,4.1363,96.1285,Kost Pria
299,Salalah,OM,73.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
301,Auki,SB,83.52,overcast clouds,-8.7676,160.7034,Auki Motel
302,Tezu,IN,71.26,broken clouds,27.9167,96.1667,Circuit House
304,Harper,LR,77.61,light rain,4.375,-7.7169,Screensaver
309,Anton Lizardo,MX,73.62,overcast clouds,19.05,-95.9833,Hotel CocoAventura
311,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
312,Chake Chake,TZ,75.78,scattered clouds,-5.2459,39.7666,Hotel Archipelago
313,Kapit,MY,76.14,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
318,Sungairaya,ID,85.12,light rain,0.7,108.9,Mess P.Milu
319,Trairi,BR,79.14,clear sky,-3.2778,-39.2689,janelas do mar
324,Bourail,NC,79.2,clear sky,-21.5667,165.4833,Motel Allamanda
325,Biak,ID,84.6,broken clouds,-0.9131,122.8766,Penginapan Kim
327,Sur,OM,74.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
330,Bandarbeyla,SO,74.98,overcast clouds,9.4942,50.8122,JABIR HOTEL
332,Orocue,CO,76.59,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
339,Wau,SS,72.84,overcast clouds,7.7029,27.9953,Universal Gab Hotel
340,Airai,TL,77.59,scattered clouds,-8.9266,125.4092,Juvinal Martin
342,Nova Granada,BR,77.25,clear sky,-20.5339,-49.3142,Casa do maikão
350,Cartagena Del Chaira,CO,73.04,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
351,Gold Coast,AU,79.27,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
353,Catamarca,AR,77.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
354,Bengkulu,ID,80.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
355,Sambava,MG,72.18,broken clouds,-14.2667,50.1667,Melrose
356,Mbandaka,CD,70.5,overcast clouds,0.0487,18.2603,Guest House Epervier
358,Oussouye,SN,78.98,broken clouds,12.485,-16.5469,Auberge du Routard
360,Acarau,BR,79.38,clear sky,-2.8856,-40.12,castelo pizzaria
361,Bacolod,PH,85.77,broken clouds,10.6667,122.95,Planta Hotel & Residences
363,Tena,EC,71.67,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
364,Wanning,CN,80.31,broken clouds,18.8003,110.3967,Paradise Hotel
366,Naples,IT,70.59,scattered clouds,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
