City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Leh,IN,34.1667,77.5833,17.98,78,77,1.48,broken clouds
86,Ribeira Grande,PT,38.5167,-28.7,69.37,86,100,23.02,overcast clouds
87,Amahai,ID,-3.3333,128.9167,86.27,66,67,3.15,broken clouds
88,Illapel,CL,-31.6308,-71.1653,57.72,80,40,3.29,scattered clouds
89,Derzhavinsk,KZ,51.1,66.3167,15.01,85,9,2.17,clear sky
90,Palma Di Montechiaro,IT,37.1926,13.765,65.91,88,100,6.96,overcast clouds
91,Qaanaaq,GL,77.484,-69.3632,5.22,57,0,8.12,clear sky
92,Talnakh,RU,69.4865,88.3972,5.31,95,100,15.7,light snow
93,Extrema,BR,-22.8547,-46.3183,62.42,97,41,3.58,scattered clouds
94,Bethel,US,41.3712,-73.414,44.49,75,1,0.0,clear sky
95,Kyren,RU,51.6828,102.1408,7.54,75,97,5.95,overcast clouds
96,Huercal-Overa,ES,37.389,-1.9454,51.24,55,95,9.69,overcast clouds
97,Nuuk,GL,64.1835,-51.7216,32.88,97,100,23.0,snow
98,Yellowknife,CA,62.456,-114.3525,37.42,100,1,10.36,clear sky
99,Hamilton,US,39.1834,-84.5333,39.42,76,1,0.0,clear sky
100,Neiafu,TO,-18.65,-173.9833,83.08,74,40,10.36,scattered clouds
101,Khatanga,RU,71.9667,102.5,13.48,93,100,20.62,light snow
102,Kharp,RU,66.8014,65.8081,31.23,90,100,7.94,overcast clouds
103,Poum,NC,-20.2333,164.0167,73.6,68,39,7.4,scattered clouds
104,Ancud,CL,-41.8697,-73.8203,45.93,77,53,13.13,broken clouds
105,Vila Velha,BR,-20.3297,-40.2925,75.15,78,75,8.05,broken clouds
106,Narasingapuram,IN,13.6167,79.3333,75.88,87,100,2.28,moderate rain
107,Cockburn Town,TC,21.4612,-71.1419,81.79,75,17,15.35,few clouds
108,Shimoda,JP,34.6667,138.95,64.76,64,64,9.86,broken clouds
109,Asau,RO,46.4333,26.4,47.75,60,100,2.84,overcast clouds
110,Leningradskiy,RU,69.3833,178.4167,-7.71,90,23,5.86,few clouds
111,Gotsu,JP,35.0,132.2167,60.94,68,0,5.7,clear sky
112,Constitucion,CL,-35.3333,-72.4167,48.18,82,0,8.95,clear sky
113,Stornoway,GB,58.2093,-6.3865,41.94,87,75,4.61,broken clouds
114,Grand Gaube,MU,-20.0064,57.6608,73.38,77,5,1.99,clear sky
115,Olafsvik,IS,64.8945,-23.7142,42.71,78,100,22.26,overcast clouds
116,Razdolinsk,RU,58.4211,94.6658,3.42,79,100,10.25,overcast clouds
117,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,92,20,6.91,few clouds
118,Klaksvik,FO,62.2266,-6.589,38.32,68,99,12.26,overcast clouds
119,Gusau,NG,12.1628,6.6614,78.6,29,6,6.8,clear sky
120,Pangnirtung,CA,66.1451,-65.7125,12.54,79,98,6.17,overcast clouds
121,Zalesovo,RU,53.9939,84.7431,2.98,97,50,0.78,scattered clouds
122,Itarema,BR,-2.9248,-39.9167,79.3,83,6,11.54,clear sky
123,Glenwood Springs,US,39.5505,-107.3248,43.83,83,1,3.44,clear sky
124,Esperance,AU,-33.8667,121.9,84.04,41,100,6.96,overcast clouds
125,Altamira,BR,-3.2033,-52.2064,74.91,87,41,1.3,scattered clouds
126,Victoria,HK,22.2855,114.1577,82.96,77,98,5.99,overcast clouds
127,Zenzeli,RU,45.9241,47.0474,47.23,78,100,17.54,overcast clouds
128,Bitam,GA,2.076,11.5007,67.53,99,100,1.77,overcast clouds
129,Avera,US,33.194,-82.5271,53.47,68,24,7.9,few clouds
130,George Town,MY,5.4112,100.3354,85.93,76,20,3.44,few clouds
131,Oyama,JP,36.3,139.8,69.04,35,1,0.54,clear sky
132,Carnarvon,AU,-24.8667,113.6333,71.67,68,0,17.27,clear sky
133,Jinotega,NI,13.0917,-86.0018,63.16,93,95,3.6,overcast clouds
134,Tieling,CN,42.2931,123.8414,55.26,61,0,10.71,clear sky
135,Upernavik,GL,72.7868,-56.1549,24.69,87,100,6.89,overcast clouds
136,Pakxe,LA,15.1167,105.7833,81.55,72,100,1.43,overcast clouds
137,Nikolskoye,RU,59.7035,30.7861,46.87,92,100,7.36,moderate rain
138,Santo Tomas,PH,14.1079,121.1414,88.05,69,50,10.22,scattered clouds
139,Rio Gallegos,AR,-51.6226,-69.2181,46.45,61,40,17.27,scattered clouds
140,Cidreira,BR,-30.1811,-50.2056,67.84,95,62,14.09,heavy intensity rain
141,Omboue,GA,-1.5746,9.2618,76.12,92,100,5.84,light rain
142,Pevek,RU,69.7008,170.3133,-13.85,97,24,6.69,few clouds
143,Marquette,US,46.5333,-87.6335,32.77,73,73,4.5,broken clouds
144,Barrow,US,71.2906,-156.7887,26.62,80,90,18.41,mist
145,Oktyabrskiy,RU,54.4815,53.471,25.52,34,0,10.33,clear sky
146,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,3.44,clear sky
147,Bluff,NZ,-46.6,168.3333,63.81,56,90,4.7,overcast clouds
148,Lorengau,PG,-2.0226,147.2712,82.92,80,100,11.86,moderate rain
149,Zemio,CF,5.0314,25.1361,68.56,98,100,2.04,moderate rain
150,Kambove,CD,-10.8764,26.5969,61.97,87,58,1.86,broken clouds
151,Komsomolskiy,UZ,40.4272,71.7189,51.15,57,75,6.91,moderate rain
152,Faya,SA,18.3851,42.4509,50.11,31,19,4.45,few clouds
153,Naze,JP,28.3667,129.4833,72.52,54,45,12.35,scattered clouds
154,Dingle,PH,10.9995,122.6711,84.49,78,74,9.93,broken clouds
155,Da Nang,VN,16.0678,108.2208,87.78,66,20,1.14,few clouds
156,Svetlyy,RU,54.675,20.1347,37.45,89,48,8.12,scattered clouds
157,Nome,US,64.5011,-165.4064,17.67,86,1,4.61,clear sky
158,Bubaque,GW,11.2833,-15.8333,82.4,75,19,8.86,few clouds
159,Praya,CV,14.9215,-23.5087,75.74,83,0,10.36,clear sky
160,Kota Bahru,MY,6.1333,102.2386,78.75,94,40,5.75,heavy intensity rain
161,Fairbanks,US,64.8378,-147.7164,30.16,93,90,0.0,fog
162,Kodiak,US,57.79,-152.4072,38.86,76,10,14.38,clear sky
163,Venancio Aires,BR,-29.6064,-52.1919,71.26,96,40,3.31,scattered clouds
164,Marsa Matruh,EG,31.3525,27.2453,64.6,94,0,5.75,clear sky
165,Lasa,IT,46.6166,10.7002,44.06,97,100,4.52,overcast clouds
166,Richards Bay,ZA,-28.783,32.0377,62.01,87,0,4.65,clear sky
167,Sampit,ID,-2.5333,112.95,87.82,63,72,1.39,light rain
168,Shache,CN,38.4167,77.2406,44.53,26,26,7.78,scattered clouds
169,Clive,US,41.603,-93.7241,44.85,62,90,1.99,overcast clouds
170,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,11.5,few clouds
171,Lagoa,PT,39.05,-27.9833,67.33,88,100,22.41,overcast clouds
172,Kronach,DE,50.2396,11.3331,45.86,88,100,1.88,light rain
173,Melita,CA,49.2681,-100.9967,32.95,67,0,7.58,clear sky
174,Batagay-Alyta,RU,67.8006,130.4114,-8.1,86,96,3.47,overcast clouds
175,Aldergrove,CA,49.058,-122.4709,53.35,93,90,8.05,light rain
176,Benghazi,LY,32.1167,20.0667,75.78,48,0,14.07,clear sky
177,Hongjiang,CN,27.11,109.9956,62.28,95,100,1.68,overcast clouds
178,Northam,GB,51.0333,-4.2167,44.2,81,11,9.19,few clouds
179,Thompson,CA,55.7435,-97.8558,21.36,93,1,0.0,clear sky
180,Mount Isa,AU,-20.7333,139.5,96.57,26,40,13.8,scattered clouds
181,Kindu,CD,-2.95,25.95,67.53,96,100,1.81,overcast clouds
182,Dunedin,NZ,-45.8742,170.5036,56.8,54,0,14.0,clear sky
183,Chokurdakh,RU,70.6333,147.9167,-15.21,99,77,7.25,broken clouds
184,Port Alfred,ZA,-33.5906,26.891,61.7,88,0,3.74,clear sky
185,Bialogard,PL,54.007,15.9875,40.75,90,100,7.02,overcast clouds
186,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.15,87,75,19.57,light intensity drizzle
187,Kruisfontein,ZA,-34.0033,24.7314,54.21,68,0,4.36,clear sky
188,Kavieng,PG,-2.5744,150.7967,82.87,79,100,13.65,light rain
189,Kemijarvi,FI,66.7131,27.4306,36.03,96,100,3.02,overcast clouds
190,Acari,PE,-15.4311,-74.6158,67.26,74,20,3.02,few clouds
191,Arraial Do Cabo,BR,-22.9661,-42.0278,71.44,91,100,6.96,overcast clouds
192,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.75,92,19,12.48,few clouds
193,Saint-Denis,FR,48.9167,2.3333,43.11,93,40,2.3,scattered clouds
194,Soyo,AO,-6.1349,12.3689,76.59,83,100,7.27,overcast clouds
195,Kendari,ID,-3.945,122.4989,86.61,67,100,5.28,overcast clouds
196,Otavi,NA,-19.65,17.3333,70.36,14,13,8.95,few clouds
197,Butaritari,KI,3.0707,172.7902,82.98,74,17,14.0,few clouds
198,Zeya,RU,53.75,127.2667,33.4,91,100,3.36,light snow
199,Hasaki,JP,35.7333,140.8333,68.29,46,11,6.85,few clouds
200,Maceio,BR,-9.6658,-35.7353,80.04,94,0,8.05,clear sky
201,Dibulla,CO,11.2725,-73.3091,76.5,85,44,3.44,scattered clouds
202,Jalu,LY,29.0331,21.5482,73.51,28,0,8.32,clear sky
203,Nouadhibou,MR,20.931,-17.0347,67.98,83,0,16.11,clear sky
204,Ariguani,CO,10.25,-74.0,75.79,93,56,3.69,broken clouds
205,Katsuura,JP,35.1333,140.3,64.51,56,98,7.61,overcast clouds
206,Kavaratti,IN,10.5669,72.642,81.48,80,90,13.76,overcast clouds
207,Faanui,PF,-16.4833,-151.75,79.05,73,3,2.8,light rain
208,Half Moon Bay,US,37.4636,-122.4286,68.76,70,1,0.0,clear sky
209,Beringovskiy,RU,63.05,179.3167,2.53,83,3,8.63,clear sky
210,Lucapa,AO,-8.4192,20.7447,64.72,98,100,1.88,light rain
211,Elektrogorsk,RU,55.8794,38.7919,44.35,93,100,10.96,overcast clouds
212,La Ronge,CA,55.1001,-105.2842,26.85,80,1,2.3,clear sky
213,Severo-Kurilsk,RU,50.6789,156.125,39.4,68,60,3.29,broken clouds
214,College,US,64.8569,-147.8028,30.15,93,90,0.0,fog
215,Qui Nhon,VN,13.7667,109.2333,80.19,80,94,7.99,overcast clouds
216,Bundaberg,AU,-24.85,152.35,83.21,40,75,7.0,broken clouds
217,Saint George,US,37.1041,-113.5841,67.78,42,1,1.01,clear sky
218,Qaqortoq,GL,60.7167,-46.0333,34.3,97,100,6.49,light rain
219,Riyadh,SA,24.6877,46.7219,64.54,25,0,2.13,clear sky
220,Masterton,NZ,-40.9597,175.6575,54.77,96,100,7.2,heavy intensity rain
221,Umm Lajj,SA,25.0213,37.2685,79.61,54,0,9.04,clear sky
222,Teknaf,BD,20.8624,92.3058,76.42,61,100,7.45,overcast clouds
223,Namatanai,PG,-3.6667,152.4333,83.17,74,88,5.35,light rain
224,Broome,US,42.2506,-75.833,35.83,75,13,3.0,few clouds
225,Namibe,AO,-15.1961,12.1522,63.75,86,88,3.42,overcast clouds
226,Rovnoye,RU,50.7765,46.0509,42.75,49,100,16.91,light rain
227,Clyde River,CA,70.4692,-68.5914,22.05,85,97,32.39,light snow
228,Bambous Virieux,MU,-20.3428,57.7575,73.22,88,75,4.61,broken clouds
229,Rairangpur,IN,22.2676,86.1751,70.25,74,99,0.27,overcast clouds
230,Dicabisagan,PH,17.0818,122.4157,82.99,67,25,7.58,scattered clouds
231,Maniitsoq,GL,65.4167,-52.9,32.11,94,100,12.53,light snow
232,Orlik,RU,52.5178,99.825,-1.57,71,42,4.41,scattered clouds
233,Egvekinot,RU,66.3167,-179.1667,0.66,81,100,11.03,overcast clouds
234,Taksimo,RU,56.3444,114.8794,24.21,93,100,3.98,light snow
235,Keti Bandar,PK,24.1447,67.4497,78.31,43,4,5.79,clear sky
236,San Cristobal,VE,7.7669,-72.225,69.98,92,98,0.85,overcast clouds
237,Oranjestad,AW,12.524,-70.027,82.35,74,20,14.97,few clouds
238,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,87,100,13.38,overcast clouds
239,Maragogi,BR,-9.0122,-35.2225,77.77,83,100,10.27,overcast clouds
240,Viedma,AR,-40.8135,-62.9967,64.99,87,100,11.21,moderate rain
241,Sakakah,SA,29.9697,40.2064,67.57,52,0,8.46,clear sky
242,Beyneu,KZ,45.3167,55.2,37.53,43,4,23.8,clear sky
243,Matara,LK,5.9485,80.5353,78.96,85,100,8.68,overcast clouds
244,Sao Filipe,CV,14.8961,-24.4956,80.31,69,100,3.74,overcast clouds
245,Labuhan,ID,-6.8844,112.2051,87.6,63,86,1.03,overcast clouds
246,Ostersund,SE,63.1792,14.6357,39.65,100,90,3.44,overcast clouds
247,Ferrol,ES,43.4832,-8.2369,49.68,88,75,8.86,light rain
248,Ayia Galini,GR,35.1,24.6833,66.85,75,0,3.65,clear sky
249,Sabla,NG,12.7525,4.7077,79.72,22,3,5.97,clear sky
250,Hilo,US,19.7297,-155.09,82.13,71,1,8.05,clear sky
251,Mayo,US,38.8876,-76.5119,47.28,77,100,1.99,overcast clouds
252,Kushima,JP,31.4583,131.2333,69.31,47,46,2.86,scattered clouds
253,Marana,US,32.4367,-111.2254,76.48,28,1,0.0,clear sky
254,Gebre Guracha,ET,9.8,38.4,47.46,42,4,3.8,clear sky
255,Benguela,AO,-12.5763,13.4055,74.14,77,96,6.24,overcast clouds
256,Paonta Sahib,IN,30.45,77.6167,61.52,53,0,5.84,clear sky
257,Khandyga,RU,62.6667,135.6,20.71,94,100,5.19,overcast clouds
258,Ahipara,NZ,-35.1667,173.1667,60.39,68,99,4.65,overcast clouds
259,East London,ZA,-33.0153,27.9116,61.63,83,0,5.1,clear sky
260,Davila,PH,18.4726,120.5763,89.58,58,8,5.03,clear sky
261,Lata,PT,40.1629,-8.3327,49.82,94,43,0.31,scattered clouds
262,Eureka,US,40.8021,-124.1637,66.81,82,100,8.01,light rain
263,Sorong,ID,-0.8833,131.25,83.08,72,88,3.87,overcast clouds
264,Morondava,MG,-20.2833,44.2833,73.54,84,0,3.06,clear sky
265,Lagos,NG,6.5833,3.75,77.32,89,38,2.82,scattered clouds
266,Turukhansk,RU,65.8167,87.9833,9.73,94,100,17.49,light snow
267,Khorramshahr,IR,30.4397,48.1664,67.96,83,3,2.3,clear sky
268,Ures,MX,29.4333,-110.4,79.07,21,0,3.94,clear sky
269,Xuddur,SO,4.1213,43.8894,70.12,89,85,9.57,overcast clouds
270,San Angelo,US,31.4638,-100.437,48.42,89,90,5.01,overcast clouds
271,Huarmey,PE,-10.0681,-78.1522,64.0,85,93,9.1,overcast clouds
272,Ekhabi,RU,53.5102,142.9671,38.77,78,61,13.56,broken clouds
273,Hithadhoo,MV,-0.6,73.0833,81.82,76,50,13.65,scattered clouds
274,Baft,IR,29.234,56.6057,47.21,56,0,3.04,clear sky
275,Qasigiannguit,GL,68.8193,-51.1922,29.08,86,100,6.91,overcast clouds
276,Mar Del Plata,AR,-38.0023,-57.5575,65.08,99,75,5.01,broken clouds
277,Cap Malheureux,MU,-19.9842,57.6142,73.47,77,6,1.99,clear sky
278,Khor,RU,47.8861,134.9464,40.73,64,100,3.98,overcast clouds
279,Chester,US,40.1254,-75.8749,40.55,83,1,0.0,clear sky
280,Pascagoula,US,30.3658,-88.5561,62.65,87,1,3.44,clear sky
281,Caravelas,BR,-17.7125,-39.2481,73.15,92,78,5.3,broken clouds
282,Goderich,CA,43.7501,-81.7165,35.91,93,100,3.44,light rain
283,Samarai,PG,-10.6167,150.6667,82.65,69,95,12.46,overcast clouds
284,Spasskoye,RU,44.6108,132.7969,49.5,69,89,5.64,overcast clouds
285,Portland,US,45.5234,-122.6762,56.62,84,75,1.01,mist
286,Linxi,CN,39.7,118.4333,57.85,52,0,3.24,clear sky
287,Barabai,ID,-2.5833,115.3833,80.73,83,100,2.08,light rain
288,Silifke,TR,36.3778,33.9344,66.43,66,7,2.37,clear sky
289,Gornoye Loo,RU,43.7129,39.6049,56.98,85,93,3.76,overcast clouds
290,Sapa,PH,5.1544,120.3241,84.78,71,98,3.49,overcast clouds
291,Cape Coast,GH,5.1053,-1.2466,78.28,86,82,6.17,broken clouds
292,Pitimbu,BR,-7.4706,-34.8086,79.39,80,11,11.95,few clouds
293,Torbay,CA,47.6666,-52.7314,41.27,92,1,6.91,clear sky
294,Ternate,ID,0.8,127.4,85.46,66,61,1.28,broken clouds
295,Norman Wells,CA,65.282,-126.8329,14.04,92,90,2.3,mist
296,Luan,CH,46.3592,6.9759,37.45,87,100,5.01,light rain
297,Meulaboh,ID,4.1363,96.1285,78.93,83,100,2.51,overcast clouds
298,Kawambwa,ZM,-9.7915,29.0791,64.9,86,66,2.86,light rain
299,Salalah,OM,17.0151,54.0924,73.49,83,20,4.61,few clouds
300,Bara,NG,10.3744,10.7288,78.35,58,95,3.4,overcast clouds
301,Auki,SB,-8.7676,160.7034,83.52,74,93,3.2,overcast clouds
302,Tezu,IN,27.9167,96.1667,71.26,39,52,1.1,broken clouds
303,Muroto,JP,33.2833,134.15,69.84,62,29,3.71,scattered clouds
304,Harper,LR,4.375,-7.7169,77.61,86,99,7.16,light rain
305,Gidole,ET,5.65,37.3667,56.26,53,71,3.36,broken clouds
306,Liverpool,GB,53.4106,-2.9779,46.81,83,12,4.0,few clouds
307,Luderitz,NA,-26.6481,15.1594,56.84,56,48,14.94,scattered clouds
308,Nanortalik,GL,60.1432,-45.2371,38.1,88,100,5.21,light rain
309,Anton Lizardo,MX,19.05,-95.9833,73.62,65,100,5.19,overcast clouds
310,Yumen,CN,40.2833,97.2,43.52,23,0,5.91,clear sky
311,Padang,ID,-0.9492,100.3543,80.65,78,99,1.92,overcast clouds
312,Chake Chake,TZ,-5.2459,39.7666,75.78,87,27,5.5,scattered clouds
313,Kapit,MY,2.0167,112.9333,76.14,98,100,1.14,overcast clouds
314,Haines Junction,CA,60.7522,-137.5108,35.55,69,26,3.44,scattered clouds
315,Zhangjiakou,CN,40.81,114.8794,48.51,36,0,1.07,clear sky
316,Maryville,US,35.7565,-83.9705,48.11,82,90,4.61,overcast clouds
317,Bealanana,MG,-14.55,48.7333,61.7,97,35,1.39,scattered clouds
318,Sungairaya,ID,0.7,108.9,85.12,71,75,1.23,light rain
319,Trairi,BR,-3.2778,-39.2689,79.14,80,10,8.79,clear sky
320,Lompoc,US,34.6391,-120.4579,67.1,88,75,8.05,broken clouds
321,Bridlington,GB,54.0831,-0.1919,46.29,84,94,29.82,overcast clouds
322,San Jose Del Palmar,CO,4.9742,-76.2283,69.46,99,100,0.31,overcast clouds
323,Penarroya-Pueblonuevo,ES,38.3,-5.2667,42.46,82,5,3.02,clear sky
324,Bourail,NC,-21.5667,165.4833,79.2,48,4,12.46,clear sky
325,Biak,ID,-0.9131,122.8766,84.6,66,59,1.79,broken clouds
326,Pampa,US,35.5362,-100.9599,43.75,87,75,0.0,broken clouds
327,Sur,OM,22.5667,59.5289,74.57,63,1,5.57,clear sky
328,Valparaiso,CL,-33.0393,-71.6273,56.84,76,20,6.91,few clouds
329,Aklavik,CA,68.2191,-135.0107,16.63,95,24,3.36,few clouds
330,Bandarbeyla,SO,9.4942,50.8122,74.98,73,99,7.36,overcast clouds
331,Conway,US,35.0887,-92.4421,42.71,92,75,0.0,broken clouds
332,Orocue,CO,4.7912,-71.3354,76.59,88,54,5.86,broken clouds
333,Szczytno,PL,53.5626,20.9875,39.13,100,100,3.44,mist
334,Chuy,UY,-33.6971,-53.4616,65.14,96,100,12.1,overcast clouds
335,Vetlanda,SE,57.4289,15.0776,41.54,99,87,3.15,overcast clouds
336,Belaya Gora,RU,68.5333,146.4167,-7.47,99,82,1.66,broken clouds
337,Calvinia,ZA,-31.4707,19.776,53.19,48,0,3.69,clear sky
338,Mettet,BE,50.3212,4.6623,40.26,100,75,3.44,mist
339,Wau,SS,7.7029,27.9953,72.84,87,100,4.61,overcast clouds
340,Airai,TL,-8.9266,125.4092,77.59,46,44,5.19,scattered clouds
341,Magistralnyy,RU,56.1725,107.4458,9.05,65,100,9.4,overcast clouds
342,Nova Granada,BR,-20.5339,-49.3142,77.25,54,8,4.23,clear sky
343,Havelock,US,34.8791,-76.9013,53.98,71,90,5.99,overcast clouds
344,Lewistown,US,40.5992,-77.5714,38.39,86,1,0.0,clear sky
345,Wuwei,CN,37.9281,102.6414,48.88,28,0,2.66,clear sky
346,Zhigansk,RU,66.7697,123.3711,-6.07,97,100,9.08,light snow
347,At-Bashi,KG,41.1702,75.8106,28.47,91,99,2.55,snow
348,Robe,AU,-37.1833,139.75,59.07,65,0,14.52,clear sky
349,Langxiang,CN,46.95,128.8833,45.03,65,16,2.15,few clouds
