City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
32,Nikolskoye,RU,10/30/2021 18:17,59.7035,30.7861,42.4,93,85,6.96
33,Abeche,TD,10/30/2021 18:19,13.8292,20.8324,88.3,15,71,5.06
34,Gat,IL,10/30/2021 18:16,31.61,34.7642,73.4,63,38,5.23
35,Bengkulu,ID,10/30/2021 18:16,-3.8004,102.2655,76.12,92,100,4.79
36,Busselton,AU,10/30/2021 18:19,-33.65,115.3333,49.8,90,35,6.87
37,Mombetsu,JP,10/30/2021 18:19,44.3525,143.3525,42.89,61,88,5.19
38,Mount Gambier,AU,10/30/2021 18:17,-37.8333,140.7667,40.84,97,13,4.43
39,Tasiilaq,GL,10/30/2021 18:19,65.6145,-37.6368,24.96,63,22,6.53
40,Albany,US,10/30/2021 18:17,42.6001,-73.9662,56.08,93,99,7.99
41,Alice Springs,AU,10/30/2021 18:15,-23.7,133.8833,64.51,47,100,16.13
42,Lompoc,US,10/30/2021 18:19,34.6391,-120.4579,75.13,100,90,5.75
43,Kaitangata,NZ,10/30/2021 18:19,-46.2817,169.8464,47.41,85,70,2.93
44,Narsaq,GL,10/30/2021 18:19,60.9167,-46.05,29.21,71,41,3.31
45,Constitucion,CL,10/30/2021 18:19,-35.3333,-72.4167,65.3,61,100,15.48
46,Boyuibe,BO,10/30/2021 18:19,-20.4167,-63.2833,87.71,70,98,1.59
47,Ribeira Grande,PT,10/30/2021 18:19,38.5167,-28.7,71.33,90,100,20.11
48,Mahebourg,MU,10/30/2021 18:19,-20.4081,57.7,72.25,75,43,7.38
49,Victoria,HK,10/30/2021 18:15,22.2855,114.1577,71.94,99,80,8.79
50,Arraial Do Cabo,BR,10/30/2021 18:15,-22.9661,-42.0278,73.36,83,75,11.5
51,Kondopoga,RU,10/30/2021 18:19,62.2057,34.2614,42.51,96,100,6.62
52,Mar Del Plata,AR,10/30/2021 18:19,-38.0023,-57.5575,67.28,77,22,3.83
53,Saint-Philippe,RE,10/30/2021 18:19,-21.3585,55.7679,71.19,80,75,3.31
54,Shahrud,IR,10/30/2021 18:19,36.4182,54.9763,53.06,49,41,6.31
55,Butaritari,KI,10/30/2021 18:19,3.0707,172.7902,81.88,73,83,6.04
56,Catuday,PH,10/30/2021 18:19,16.2923,119.8062,79,75,10,7.36
57,Carnarvon,AU,10/30/2021 18:17,-24.8667,113.6333,68.07,64,0,14.97
58,Milkovo,RU,10/30/2021 18:20,54.7167,158.6167,26.47,86,75,4.63
59,Lavrentiya,RU,10/30/2021 18:20,65.5833,-171,10.62,78,55,6.13
60,Sur,OM,10/30/2021 18:20,22.5667,59.5289,81.48,58,18,9.51
61,Los Llanos De Aridane,ES,10/30/2021 18:20,28.6585,-17.9182,69.55,64,40,3.44
62,Provideniya,RU,10/30/2021 18:20,64.3833,-173.3,12.63,85,99,11.3
63,Vostok,RU,10/30/2021 18:20,46.4856,135.8833,33.48,77,100,2.42
64,Palmer,US,10/30/2021 18:18,42.1584,-72.3287,61.56,80,100,1.99
65,Aleksandrov Gay,RU,10/30/2021 18:20,50.147,48.5704,43.74,65,25,8.52
66,Fortuna,US,10/30/2021 18:20,40.5982,-124.1573,64.47,48,60,1.01
67,Bambous Virieux,MU,10/30/2021 18:18,-20.3428,57.7575,72.21,76,58,7.87
68,San Miguel,SV,10/30/2021 18:20,13.4833,-88.1833,87.21,59,100,2.46
69,Almaznyy,RU,10/30/2021 18:20,48.0448,40.045,41.14,67,1,4.65
70,Uruzgan,AF,10/30/2021 18:20,32.8333,66,50.5,20,0,0.92
71,Hermanus,ZA,10/30/2021 18:20,-34.4187,19.2345,61.81,82,48,10.47
72,Great Yarmouth,GB,10/30/2021 18:20,52.6083,1.7305,52.23,79,84,11.07
73,Winslow,US,10/30/2021 18:20,35.0242,-110.6974,68.16,20,3,0.6
74,Vila Franca Do Campo,PT,10/30/2021 18:20,37.7167,-25.4333,71.31,93,95,16.87
75,Nokaneng,BW,10/30/2021 18:20,-19.6667,22.2667,83.08,35,54,4.85
76,Talwara,IN,10/30/2021 18:20,31.9486,75.8667,65.28,55,0,4.07
77,Khatanga,RU,10/30/2021 18:18,71.9667,102.5,-2.61,99,93,2.95
78,Zaysan,KZ,10/30/2021 18:20,47.4667,84.8667,44.55,55,100,3.15
79,Pitimbu,BR,10/30/2021 18:20,-7.4706,-34.8086,84.79,61,2,12.97
80,Norman Wells,CA,10/30/2021 18:19,65.282,-126.8329,18.21,85,27,5.08
81,Coihaique,CL,10/30/2021 18:16,-45.5752,-72.0662,57.81,30,1,7.18
82,Yellowknife,CA,10/30/2021 18:19,62.456,-114.3525,30.42,89,40,5.99
83,Geraldton,AU,10/30/2021 18:18,-28.7667,114.6,54.01,82,0,8.05
84,Hobart,AU,10/30/2021 18:20,-42.8794,147.3294,52.27,68,75,5.01
85,Sitka,US,10/30/2021 18:20,57.0531,-135.33,46.29,66,75,12.66
86,Yishui,CN,10/30/2021 18:20,35.7847,118.6281,56.19,72,5,3.98
87,Ahipara,NZ,10/30/2021 18:15,-35.1667,173.1667,62.37,97,100,12.95
88,Nioro,GM,10/30/2021 18:20,13.35,-15.75,74.5,85,100,6.4
89,Parainen,FI,10/30/2021 18:20,60.3067,22.301,49.14,93,60,11.32
90,Marsa Matruh,EG,10/30/2021 18:20,31.3525,27.2453,71.71,73,63,10.87
91,Codrington,AU,10/30/2021 18:17,-38.2667,141.9667,41.22,94,1,7.78
92,Georgetown,MY,10/30/2021 18:19,5.4112,100.3354,76.95,94,100,6.58
93,Ormara,PK,10/30/2021 18:20,25.2088,64.6357,80.56,63,1,7.11
94,Lar,IN,10/30/2021 18:20,26.2039,83.9717,71.96,63,34,3.58
95,Tigil,RU,10/30/2021 18:20,57.8,158.6667,25.74,92,100,5.3
96,Carnot,CF,10/30/2021 18:20,4.9409,15.8665,73.8,87,96,1.9
97,Harboore,DK,10/30/2021 18:20,56.6175,8.1807,53.22,78,100,24.83
98,Puerto Ayora,EC,10/30/2021 18:18,-0.7393,-90.3518,72.79,79,71,8.86
99,Payo,ID,10/30/2021 18:20,-3.7508,103.6372,72.93,96,85,1.88
100,Pisco,PE,10/30/2021 18:19,-13.7,-76.2167,69.51,66,28,8.99
101,Galesong,ID,10/30/2021 18:20,-5.3166,119.3661,78.71,86,98,13.98
102,Cape Town,ZA,10/30/2021 18:19,-33.9258,18.4232,64.11,82,0,17.27
103,Veraval,IN,10/30/2021 18:20,20.9,70.3667,77.92,46,66,7.56
104,Kapaa,US,10/30/2021 18:17,22.0752,-159.319,75.18,95,1,6.91
105,Kavaratti,IN,10/30/2021 18:20,10.5669,72.642,82.02,72,92,1.95
106,San Jose,US,10/30/2021 18:17,37.3394,-121.895,66.42,80,40,3
107,Quatre Cocos,MU,10/30/2021 18:17,-20.2078,57.7625,72.09,76,56,7.36
108,Cherskiy,RU,10/30/2021 18:20,68.75,161.3,-1.05,98,100,5.14
109,Susangerd,IR,10/30/2021 18:20,31.5608,48.1831,83.84,37,52,6.82
110,Port Blair,IN,10/30/2021 18:20,11.6667,92.75,80.87,80,93,1.79
111,Listvyanskiy,RU,10/30/2021 18:20,54.4399,83.4984,25.68,59,92,7.85
112,Lata,PT,10/30/2021 18:20,40.1629,-8.3327,63.07,98,100,4.41
113,Verkhnevilyuysk,RU,10/30/2021 18:20,63.4453,120.3167,16.79,80,89,7.58
114,Chuy,UY,10/30/2021 18:18,-33.6971,-53.4616,71.22,74,99,14.09
115,Fairbanks,US,10/30/2021 18:18,64.8378,-147.7164,27.1,83,100,4.65
116,Faanui,PF,10/30/2021 18:20,-16.4833,-151.75,78.35,68,20,17.34
117,Svetlogorsk,BY,10/30/2021 18:20,52.6333,29.7333,45.73,66,6,10.83
118,New Norfolk,AU,10/30/2021 18:18,-42.7826,147.0587,51.93,52,74,3.74
119,Katsuura,JP,10/30/2021 18:17,35.1333,140.3,64.04,61,48,2.01
120,Husavik,IS,10/30/2021 18:20,66.0449,-17.3389,39.11,93,100,12.57
121,Jamestown,US,10/30/2021 18:18,42.097,-79.2353,54.3,90,100,5.99
122,Wanning,CN,10/30/2021 18:20,18.8003,110.3967,76.01,87,50,9.42
123,Hay River,CA,10/30/2021 18:19,60.8156,-115.7999,30.18,86,18,11.5
124,Tura,IN,10/30/2021 18:20,25.5198,90.2201,64.92,68,2,2.48
125,Saskylakh,RU,10/30/2021 18:17,71.9167,114.0833,8.91,92,100,10.89
126,Cabo San Lucas,MX,10/30/2021 18:18,22.8909,-109.9124,86.5,58,25,1.01
